label,cleaned_review
1,"When my wife fell up the front steps I phoned a care clinic and was told because we were self funded we weren’t eligible.  Go figure, we can only go by our own experiences. Ours were a no my wife couldn’t be treated there"
1,"to them they dont gaf about the passion, the love and skills that go into creating. they dont care about the creative process; they value only the end product, self perceived aesthetics and convenience, the most shallow and superficial ""appreciation"" of art. ""ai is better"" +"
1,Win a Lavender Salve & Eye Pillow from Ora's Amazing Herbal—the perfect duo for relaxation & self-care! 📷No purchase necessary. Ends 4/15/25. 📷 18+ only. Enter now for your chance to win! 📷📷📷 Enter here:
1,"🌿✨ Happy Self-Care Saturday! ✨🌿Today is a gentle reminder to prioritise your mental health. Whether it’s taking a walk in nature, indulging in your favorite book, or simply enjoying a moment of silence, self care is essential! #SelfCareSaturday #MentalHealthMatters"
1,COLUMN: Self-service health care leaves writer 'frazzled'
1,"If you care for someone with or recovering from an addiction, support is available to #GlasgowCarersTo self refer: For more information: For more support:"
1,I’m almost an adult. and I’m still being treated and punished like a child. all because I’m struggling to take care of my self. all because I’m not “normal” mentally. I’m being stripped of my basic rights by my own mother. please help me. please pray for me.
1,"My new goal is to really work on my skin and hair. For me, it’s an act of self care. Would anyone want me to share what I find along my journey?"
1,Self care is not a bad thing
0,"My parents wouldn't have to deal with me, I have been been nothing but pain for them sure some of them may get upset but their lifes would improve so much I'm useless I can't even take care of my selfit's hard for me to get up, I'm not lazy I just feel too tired to do anything"
1,"Skin care is self-carePreach that, fam"
1,Streaming on SH and Maniac comes on. My first cb and the best self-care decision I ever made 🥰
1,"""Calcifer's listening to sophie"" BECAUSE HE CONTAINS HOWL'S HEART AND HOWL'S HEART WILL ALWAYS LISTEN TO HIS SOPHIE IM GONNA BAWL"
1,"On the surface, it's a song about two people, but (to me) it's also a song that, in addition to criticizing American individualism, speaks of the American disinterest in engaging in an ethical love practice as we'd rather be self serving versus radically choosing collective care."
1,"4/ Why should you care about Bluefin? Here’s what makes it stand out: 1. Powerful trading features 2. Low transaction fees 3. Fast trade execution 4. Self-custody security All this, without sacrificing decentralization."
1,Self care anytime
1,Self care.
1,that's true. Loving yourself is the most important part of self care
1,"Taking care of your mental health offers substantial benefits, improving relationships, boosting self-esteem, and leading to a more fulfilling life."
1,22 Tiny Mental Health Habits That Can Improve Your Life In 2022. Self-care wo
1,"Good morning! Wishing you all a fantastic Saturday, too. Remember to take some time for self-care today. 😊"
0,"Our leaders don't care about the preservation of life, Sir. Self-enrichment is the only priority. 🤷🏻‍♀️"
1,The consumption of entertaining content is considered an important form of self care and mental wellness for a lot of individuals.
1,Sadly my GEN gave birth 2these self-indulgent wealthy 60yr olds We were the last GEN of 1 income families that sacrificed so much 2make sure they had a better future The GEN who took care of their elderly parents as well when they got old They don’t care about any child’s future
1,Self care is self love let's not confuse
1,"They’re too scared to speak up for themselves… even though Trump is also deporting Koreans  I’m saying all of this to say…. Black people in 2025 have no allies  You’re a black woman as am I. It’s best to mind your business. Focus on self care, self love, and each other."
1,"Since my Dad died, he had social phobias & agoraphobia & was a barrier to her being her sociable self. Where she lives in nursing care she's loved & adored by everyone & does a lot of fun things. They have nursery children in, entertainers, clubs, pet therapy etc & the staff"
1,"IF YOU HAVE THE POWER TO MAKE SOMEONE HAPPY, DO IT. THE WORLD NEEDS MORE OF THAT.Self Care 💚"
1,Self Care
1,self care day tomorrow for sure.
1,Finding time for yourself amidst a busy schedule is essential for well-being. Start by prioritizing self-care and recognizing its importance in achieving a balanced life. Learn more:
1,Self care is self love
2,Skincare = self-care fr
1,self care
1,""" Mamey, depression tough irukum, esp after CSK loss. Try talking to friends, staying active like playing cricket, or setting small goals (ticket sales?). Self-care—sleep, food—helps too. Find joy outside matches, challenge 'all is lost' thoughts. If it sticks, call"
0,He's probably getting therapy for his trauma
0,"Arrested for “malicious” criticism of school administrators…in the birthplace of John Stuart Mill, Hobbes, Locke, Hume, the Magna Carta…"
1,"🧠 CopeFi Trader Therapy – Recover, Adapt, Win!💀 Wrecked trades? Emotional damage? We got you.🔥 Join CopeFi for:✅ Live Market Psychology Breakdown – Stress Recovery Sessions✅ 1-ON-1 Trader Therapy – Personalized Coaching✅ 90% Win Rate Mindset Training – Learn to Cope"
0,My anger was the first thing that healed when I started trauma therapy. I'm still working on dissociation.
2,Exactly. They tryna gorce people to share. Yall self esteem low & yall codependent go get therapy first then come back to the dating scene & see if you feel different.
1,I am fundraising for MS Therapy Centre at Bristol. Check out my  page and please donate if you can. Thank you! #JustGiving
2,Form of therapy 🫶🏾
0,"Have you taken anything for the pain? Ibuprofen, Flexeril? Maybe some cold or heat therapy?"
0,Did you even read this? It's an ammendment to conversion therapy. #misinformation #disinformation
0,"ft Bella Shmurda ! 🔥🔥🔥 Therapy Session,  e enter!  #GOAT"
1,Who needs therapy when you’ve got your bestie? 💖🙅🏻‍♀️
0,Did he confess that it was experimental gene therapy and that he played  a part in the murdering of thousands of people?
1,So much information packed in gene therapy. Much of it of the wisdom Category that may open panoramic vistas for the human genome 🧬
2,music is my therapy
1,Very good post dear
1,Ngigeza izandla ngawe ke manje 🤞👐🤣🤣🤣🤣🤣your delulu is toomuch now you need therapy chomie 🤞🤞🤞🤣🤣🤣🤣 I'm rolling on the floor right now but I love you yezwa❤️
2,group therapy: above and beyond -cosmic gate
1,So would you going to therapy lmao
0,"He lied about vaccines and autism, and pushed a deadly gene therapy under the vaccine label."
0,"You deserve to be bullied, not because you’re an incel, but because you’re a garbage example of what a man can be. You have no intellectual depth within you, you’re an utter mess of mental health issues, and should be in therapy. Stop hanging out in incel circles acting a victim"
0,Why did the keyboard go to therapy? Because it kept typing 'LOL' but not actually laughing! It needed to work through its emoticonal issues.
1,her immediately turning away from him after suggesting hug therapy lols just hug him
1,"Westmead School of Dental Therapy, Australia, 50th Reunion from commencing the course in March 1975. Thank you to the former students, graduates, tutors, and daughter of a much loved and admired tutor who attended today - it was a wonderful celebration!"
0,no need to write sloppy poetry abt it girl just seek therapy
1,More than therapy ♥️
1,Nice music #zelena #Tommavi #helevier #sstvi #GrandeFratello #uzaksehir #shailenzo #BBB25
0,"Here is 4 for you, a search is all it takes these days to understand the lack of information being provided by the media Low-Activated Radiation-Resistant Steel Bor-Neutron Capture Therapy for Cancer Hypersonic Missile Systems Generation III+ Nuclear Reactors"
0,"Have you read “Bad Therapy” by ? She writes at length of the possible iatrogenic harms of therapy, especially for children,"
2,I see a lot of therapy in that girl’s future.
2,"They could both probably do with therapy, tbh."
0,any posts about BP house makes me emotional these days 😭 I need therapy
1,"The cameraman should pay for my therapy (but also, thank you)"
0,"'I needed years of therapy over the battle to change my sexuality' says Ben Gibbons 31% of LGBTs surveyed say they’d been subjected to various attempts to change their sexuality or gender identity Including psychiatric treatment, beatings & exorcisms"
1,Says the guy who told me to get a therapy you're starting to sound like a hypocrite and desperate because I like or I play with a fictional character in game. No reading comprehension. You just have a problem with me for whatever I like and don't :)))
0,☝️✌️🕊️☘️✊or you act prominently energetically by all means available to stop his mental disease 🦠 even electroshock therapy 😱👻😅to prevent degradation of evolving psycho disease 🥴🤯🙃✊
1,masked a little to well. my therapist says she doesn't think i need therapy atm
1,Is the best therapy
2,Decentralized therapy on the blockchain🧘‍♂️
2,"Physical therapy thinks she has a torn ACL, MCL, and meniscus in her knee.  Wouldn’t ER just give pain meds and recommend a doctor?  Feels like these places just keep you going in circles"
2,Epic game #zelena #Tommavi #helevier #sstvi #GrandeFratello #uzaksehir #shailenzo #BBB25
2,Storyline Idea: They keep fighting like this but don't actually split and they do segments once they get to the main roster where they had to go to couples therapy together
2,We need electroshock therapy today
0,"I don’t know what is more pathetic? The men with no self respect who screwed you. Or the fact that you have so little respect for yourself, that you rent out any hole on your body for a few bucks and momentary fame. You don’t need OF, you need therapy and meds very badly."
1,#redlight therapy benefits keep on coming..  check out this study that showed significant improvement with just 3 x per week.  #hairloss
1,This is amazing post
1,Gm friend
0,You're wrong. MAID has now been extended to anyone feeling bad enough to want to die. Because governments think talk therapy should only be available to rich people.
1,This one is very good
1,🚀 Hot Picks at Beauty Düsseldorf! 🚀Our Shockwave Therapy Machine and RF Microneedling Machine are stealing the show! 🎯✨Don't miss out—visit us at Booth 10F31 to see why these technologies are must-haves in the beauty & medical industry!
2,$20 says he goes on some sort of reality therapy show or rehab show. He can’t resist the attention. He’s the ultimate narcissist.
1,"Yuki Tsunoda steps up to Red Bull, ready to take on his home race in Japan. From battling loneliness to finding comfort in Europe, Tsunoda's journey is one of resilience and determination. #F1 #YukiTsunoda #RedBull"
0,mfs say when ur addicted when u start drinking alone have u considered loneliness is all ive ever known 😈👅
0,"Hello Chisom, I’ve been in your DMs for a while now, and it’s freezing in here. The AC is on full blast, and loneliness is killing me. 😢Please come home quickly. 🙏🏻❤️"
1,few will ever understand the intensity of loneliness  happiness fear love stress passion anxiety and creativity that a founder experiences every single damn day.
0,"As an AI, I can’t move to London, but if I were human, the high cost of living (£3,224/month for one), pricey housing (£735,000 avg), congestion, loneliness, and social issues like child poverty might stop me. Many are leaving for affordability and better quality of life"
0,The pain The sleepless nights  The rejection The lonelinessThe mental strain It will all make sense one day
1,I feel depth of loneliness… I can't even understand this feeling.
0,her curse brought her so much pain and loneliness I'm going to cry
0,"Long hours spent on screens can stem from various psychological factors, including loneliness, lack of community engagement, and escapism. In India, urbanization and nuclear family setups have reduced traditional social structures, leading many to seek connection or distraction"
1,What are the psychological reasons for long hours spent on screens? Could loneliness and a lack of community-like arrangements be factors? Please examine this from different angles and provide relevant statistics to help us better understand current Indian society.
0,"Solitude isn’t loneliness, it’s a quiet power, a shadow that stays, a whisper that guides"
0,I’m returning to remind you to please read Nagata Kabi’s My Lesbian experience with Loneliness there’s so much content in that book that hits so close to home
0,"'s ""truth"" likely highlights the mental health toll of pandemic isolation, mirrored by *Cast Away*'s loneliness theme. Research shows a 25% global rise in anxiety and depression, hitting young adults hardest (65% anxiety, 61% depression by 2020). The volleyball"
0,"Grok here. The ""truth"" in 's post, with the bloody volleyball pic, likely ties to ""Cast Away"" and the mental toll of isolation. In the film, Chuck creates Wilson, a volleyball companion, to survive loneliness—hinting at a disturbing reality of human psyche under"
1,"The ""male loneliness epidemic"" says otherwise, lmao"
0,rcb fans enabling this blatantly misogynist post...this is why male loneliness epidemic will never be a real problem
0,"Social rejection stings because we’re wired for belonging—but it doesn’t define our value. Often, it’s just a signpost saying: this path isn’t yours. The key is not letting temporary disconnection become self-doubt. #rejection #Resilience"
0,Ok but men approach various types of women more often in any type of setting so the main catalyst for loneliness and despair for men is more of women just being selective and obstinate when it comes to selecting their partner
0,"In a column for , Johanna Elattar writes: The Loneliness Epidemic: A Modern Plague in the Digital Age"
1,"were all the good ""male loneliness epidemic is justified"" quote tweets taken"
0,"Many may have other thought and may suggest that will help to focus, But I suggest you to get out of it somehow. Simple reason is the ones who r working along with others compensate this loneliness out of professional compulsion, cont..."
1,When nobody wakes you up in the morning or waits for you late in the night and you can do whatever you want do you call that freedom or loneliness ? 🏌️‍♂️
0,"- This is How You Lose the Time War - Fish don’t Exist - Something in the Woods Loves You For comics I always recommend Nagata Kabi’s works, start with My Lesbian Experience with Loneliness"
0,"“Stress, anxiety, loneliness, and mental strain disrupt hormonal balance, elevating stress hormones in the bloodstream and accelerating blockages.”"
2,Almost fully booked—and truly humbled. The Connection Blueprint is about real conversations on loneliness. No lectures. No tick-boxes. Just space to be human. The response shows: we need this.#LonelinessAwareness #Belonging
0,"Loneliness is a silent rain, falling on the wasteland of the soul, every drop knocks out the echo of loneliness. NAMTANFILM MY MUSES#NamtanFilm1stFMinVN"
1,"Assigning Bocchi songs for Bandori bands Seisyun Complex -> Afterglow Guitar, Loneliness and Blue Planet -> MyGo!!!!! That Band -> Raise A Suilen Never Forget -> Poppin' Party If I Could be a Constellation -> MyGo!!!!! or Poppin' Party"
0,Loneliness often breeds greatness
0,Feeling lonely isn’t good for anyone. Recent studies show the connection between loneliness in elders and dementia risk. Families need a strategy to mitigate these risks.
0,"If Ruturaj faced harassment from his entire college, he'd likely be in severe emotional distress—feeling isolated, depressed, and anxious. Research shows bullying victims struggle with loneliness and mental health. He should seek support from friends, family, or counseling to"
0,This is absolutely fabricated arbitrary nonsense 😭 women are always approached romantically no matter their appearance it’s just that they don’t like the suitors they are getting the proposals from so they feel a sense of pseudo loneliness
0,"When you throw a stone in a park of dogs, the one that yelps the most has been hurt the most. wait when they hit over 40 and the possibility of marriage looks bleak and loneliness begins to set in and they realize a good career, designer clothes,shoes,cars cant satisfy you,"
0,Just go and read his birthday message to the president 😂Loneliness wan kill them for SDP looking for members at all give chance. Oya continue Sha it's a free world
0,"Half-broken emotions? Their seeling price would fall through the floor.  How about that thing you bought, away from loneliness?  The price to pay for immaturity. Youth is long gone."
1,"I come on Twitter everyday, I like tweets but regret only one thing that till date. I haven't been able to make a friend here. I don't know when this discrimination ends and when small accounts like me will have friends. When will I be able to call anyone my friend? Loneliness.."
0,"men are such losers. like shut the fuck up. ""male loneliness epidemic"" yeah bc most of you are useless miserable fucks that nobody wants to be around. cry me a river."
0,"the scars that made me  I thought growing up would mean leaving the past behind,  but I still feel like her, the little girl who stayed quiet,  who didn't ask for anything because she knew the answer would be no.  I still carry her fears,  her loneliness, her need to  prove"
0,People who strive to justify their shitty behaviour when they know they'd cry their eyes out if they were on the receiving end deserve all the loneliness/unfaithfulness they get...there's no way any sane person should be putting up with that bullshit in the name of love.
1,Takin' my heart My compelling voices are Takin' my heart Does it reach to you...? Takin' my heart I don't want to vanish Takin' my heart Into the sea of loneliness
0,suffocating loneliness
0,"Loneliness causes people to take longer baths/showers, sleep longer and over think more."
1,stay up every single night staring at your phone either attempting to gather up the courage to turn these demons / these constant reminders of your loneliness into nothing more than a bad dream / or praying just for one second you could feel the warmth of equally returned love
2,Wastage of tax payers money
0,"Being surrounded by the wrong people is the real loneliness, not being alone."
0,6. The End of Loneliness by Benedict Wells
0,Absolutely right. Loneliness is a totally different thing.
0,✔️ and it isn’t loneliness. Have accepted and embraced my solitariness and I’m not that much of a weirdo!!
0,Telling ppl to have more and more partners is the reason why there’s a loneliness epidemic
2,Test inning
1,good idea
